Corrente do Motor;Taxa da Balanca
67,8;11556,5
67,8;9868,743
55,5;9868,743
55,5;8692,624
45,5;8692,624
45,5;8459,391
55,6;8459,391
55,6;8459,391
55,6;8650,774
64;8650,774
64;8868,697
58,4;8868,697
58,4;8717,631
57,3;8717,631
57,3;8095,761
50,6;8095,761
50,6;8095,761
50,6;7510,381
49,7;7510,381
49,7;6959,449
47,5;6959,449
47,5;6520,287
46;6520,287
46;5684,576
41,8;5684,576
41,8;4481,408
41,8;4481,408
34,4;4481,408
34,4;3547,454
32,1;3547,454
32,1;2686,48
30,3;2686,48
30,3;2093,955
30,2;2093,955
30,2;1681,331
30,2;1681,331
29,8;1681,331
29,8;1202,36
28,2;1202,36
28,2;1039,046
28,5;1039,046
28,5;2144,48
31,7;2144,48
31,7;4174,938
44,7;4174,938
44,7;4174,938
44,7;6061,22
54,4;6061,22
54,4;7954,136
61,1;7954,136
61,1;9656,179
81,4;9656,179
81,4;10972,14
77,8;10972,14
77,8;10972,14
77,8;11907,88
81,2;11907,88
81,2;12419,26
95,7;12419,26
95,7;12133,2
76,5;12133,2
76,5;10888,18
57,2;10888,18
57,2;10888,18
57,2;9376,247
47,6;9376,247
47,6;8635,719
52,8;8635,719
52,8;8897,788
63,3;8897,788
63,3;8897,788
67;9388,241
67;9388,241
67;10067,27
67,3;10067,27
67,3;10395,94
71,4;10395,94
71,4;10007,3
63,9;10007,3
63,9;9352,006
56,3;9352,006
56,3;9352,006
57,8;8863,084
57,8;8863,084
57,8;8491,543
56,9;8491,543
56,9;8301,69
54,1;8301,69
54,1;8548,958
56;8548,958
56;8649,244
57,2;8649,244
57,2;8649,244
57,2;8933,513
62,6;8933,513
62,6;9115,456
58,1;9115,456
58,1;8720,949
52,2;8720,949
52,2;8720,949
51,1;8082,491
51,1;8082,491
51,1;7677,522
49,3;7677,522
49,3;7607,858
51,1;7607,858
51,1;7799,499
54,6;7799,499
54,6;7585,148
55,4;7585,148
55,4;7585,148
55,4;6906,627
48;6906,627
48;6464,913
44;6464,913
44;5784,352
39,4;5784,352
39,4;4858,563
37,1;4858,563
37,1;4858,563
37,1;4059,853
34,3;4059,853
34,3;3688,823
33,1;3688,823
33,1;3328,765
31,5;3328,765
31,5;2246,297
30,2;2246,297
30,2;2246,297
28,5;1117,386
28,5;1117,386
28,5;1149,793
28,1;1149,793
28,1;2052,871
29,2;2052,871
29,2;3403,022
32,5;3403,022
32,5;3403,022
38,7;4984,366
38,7;4984,366
38,7;6440,926
48,5;6440,926
48,5;7760,456
54,5;7760,456
54,5;8843,18
65;8843,18
65;8843,18
62,7;9579,88
62,7;9579,88
62,7;10331,13
67,7;10331,13
67,7;11000,21
71,4;11000,21
71,4;11410,53
72,7;11410,53
72,7;11525,88
72,7;11525,88
67,7;11525,88
67,7;11482,24
69,4;11482,24
69,4;11567,98
68,4;11567,98
68,4;11718,53
68,9;11718,53
68,9;11511,33
70,2;11511,33
70,2;11511,33
70,2;10925,69
57,5;10925,69
57,5;10160,16
55,6;10160,16
55,6;9324,192
56,5;9324,192
56,5;9285,915
58,7;9285,915
58,7;9285,915
58,7;9977,194
64,1;9977,194
64,1;11206,14
86,9;11206,14
86,9;11981,88
78,9;11981,88
78,9;11782,33
71,1;11782,33
71,1;11782,33
71,1;10749,62
57,6;10749,62
57,6;10310,71
49,4;10310,71
49,4;10450,3
68,1;10450,3
68,1;10258,91
61,6;10258,91
61,6;9637,551
52,8;9637,551
52,8;9637,551
52,8;8941,424
52;8941,424
52;8568,098
54,3;8568,098
54,3;8579,324
53,9;8579,324
53,9;8579,324
56,9;8776,067
56,9;8776,067
56,9;9052,427
55,9;9052,427
55,9;9772,286
57,8;9772,286
57,8;10391,6
70,6;10391,6
70,6;10530,68
61,7;10530,68
61,7;10530,68
61,7;10036,65
55,5;10036,65
55,5;8716,355
49,9;8716,355
49,9;8024,821
48,3;8024,821
48,3;7716,054
51,1;7716,054
51,1;7716,054
51,1;7404,737
51,7;7404,737
51,7;7215,904
47,6;7215,904
47,6;6690,746
40,4;6690,746
40,4;5583,78
37,9;5583,78
37,9;5583,78
37,9;4391,33
32,8;4391,33
32,8;3513,004
31,8;3513,004
31,8;2888,582
31,2;2888,582
31,2;2888,582
30,7;2544,091
30,7;2544,091
30,7;2023,781
30,1;2023,781
30,1;1500,665
29,3;1500,665
29,3;1980,911
32,9;1980,911
32,9;3618,904
42,7;3618,904
42,7;3618,904
42,7;5688,915
54,5;5688,915
54,5;7803,836
68,7;7803,836
68,7;9599,785
70,6;9599,785
70,6;10995,1
82,3;10995,1
82,3;11953,3
89,5;11953,3
89,5;11953,3
89,5;12379,19
81,2;12379,19
81,2;11825,45
66,1;11825,45
66,1;10072,63
56,4;10072,63
56,4;10072,63
56,4;8652,816
43,2;8652,816
43,2;8765,095
53,6;8765,095
53,6;8481,592
54,6;8481,592
54,6;7641,798
48,3;7641,798
48,3;7061,521
42,9;7061,521
42,9;7061,521
42,9;7255,458
48,7;7255,458
48,7;7714,014
51,2;7714,014
51,2;8505,833
65,8;8505,833
65,8;9272,135
66,4;9272,135
66,4;9272,135
66,4;9922,075
64,9;9922,075
64,9;10388,54
64,7;10388,54
64,7;10419,67
59,4;10419,67
59,4;9812,858
56,5;9812,858
56,5;9812,858
53,3;9233,603
53,3;9233,603
53,3;8906,464
57;8906,464
57;8502,516
55,1;8502,516
55,1;8157,769
53,2;8157,769
53,2;8157,769
50,2;7736,468
50,2;7736,468
50,2;7698,448
53,3;7698,448
53,3;7737,235
55;7737,235
55;7237,85
47,6;7237,85
47,6;7237,85
43,4;6696,105
43,4;6696,105
43,4;6079,083
39,4;6079,083
39,4;5111,189
38,5;5111,189
38,5;4336,211
34,7;4336,211
34,7;4336,211
34,7;3789,618
34,6;3789,618
34,6;3485,19
33,8;3485,19
33,8;2671,169
30,3;2671,169
30,3;1579,004
28,3;1579,004
28,3;1127,848
28,2;1127,848
28,2;1127,848
28,2;1617,281
29,9;1617,281
29,9;2607,12
33,3;2607,12
33,3;4155,8
36,9;4155,8
