Corrente do Motor;Taxa da Balanca
46,7;6892,848
40,6;6892,848
40,6;6892,848
35,4;5449,301
35,4;5449,301
35,4;4844,782
35,4;4844,782
35,4;5165,798
38,5;5165,798
38,5;5869,07
43,1;5869,07
43,1;5869,07
46,9;6572,087
46,9;6572,087
46,9;7151,599
53,3;7151,599
53,3;7578,258
56,1;7578,258
56,1;8216,205
51,4;8216,205
51,4;8216,205
60,5;8688,796
60,5;8688,796
60,5;8710,742
54,9;8710,742
54,9;8149,349
47,5;8149,349
47,5;7312,872
47,6;7312,872
47,6;7312,872
39,8;5650,382
39,8;5650,382
39,8;4329,322
34,4;4329,322
34,4;4328,3
31,6;4328,3
31,6;5050,967
33,8;5050,967
33,8;5050,967
42,7;5808,593
42,7;5808,593
42,7;6422,554
49,8;6422,554
49,8;6817,825
50,6;6817,825
50,6;7024,52
48,6;7024,52
48,6;7024,52
46,6;7138,075
46,6;7138,075
46,6;7121,488
45,1;7121,488
45,1;7244,995
45,4;7244,995
45,4;7935,253
46,4;7935,253
46,4;7935,253
62,3;8546,661
62,3;8546,661
62,3;8643,885
56,8;8643,885
56,8;8025,076
49,7;8025,076
49,7;7091,632
40,5;7091,632
40,5;7091,632
37,1;5790,985
37,1;5790,985
37,1;5218,875
36,6;5218,875
36,6;5382,189
39,3;5382,189
39,3;5728,212
43,3;5728,212
43,3;5728,212
44,8;6411,581
44,8;6411,581
44,8;7155,171
53,3;7155,171
53,3;7763,263
56,8;7763,263
56,8;7870,183
53;7870,183
53;7870,183
48,3;7635,673
48,3;7635,673
48,3;7198,808
47,3;7198,808
47,3;6632,82
42,3;6632,82
42,3;6311,806
42;6311,806
42;6311,806
40,7;6395,249
40,7;6395,249
40,7;6787,714
50,2;6787,714
50,2;7483,076
55,9;7483,076
55,9;7970,978
57,5;7970,978
57,5;8195,791
51;8195,791
51;8195,791
53,6;8141,438
53,6;8141,438
53,6;7552,23
51,5;7552,23
51,5;6607,558
44,5;6607,558
44,5;5956,086
37;5956,086
37;5956,086
36,6;5477,626
36,6;5477,626
36,6;5333,96
38,9;5333,96
38,9;5312,271
40,7;5312,271
40,7;5557,497
42;5557,497
42;5557,497
44,3;6104,346
44,3;6104,346
44,3;6818,846
49;6818,846
49;7638,735
47,7;7638,735
47,7;7948,522
56,5;7948,522
56,5;7834,203
47,9;7834,203
47,9;7834,203
42,9;7272,298
42,9;7272,298
42,9;6649,918
39,6;6649,918
39,6;6948,987
39,6;6948,987
39,6;7742,338
